Index,Entity,Values
926,desktop GIS software,0.232645444
927,detection,0.210421845
928,developed neutralizing antibodies,0.282153743
929,developed visual cortex,0.327952799
930,development,0.366453159
931,device,0
932,device presence,0
933,diagnosis,0.284931893
934,diagnostic criteria,0.353824454
935,dialysis,0.22767305
936,diarrhea,0.495072999
937,diet,0.109979759
938,diet changes,0.259888152
939,difference,0.287524078
940,different diets,0.302006309
941,different proteins,0
942,different types,0.308870936
943,differential diagnosis,0.278795958
944,differing potencies,0.244699789
945,difficulty,0.195079203
946,diffuse alveolar damage hyaline membrane formation,0.338936881
947,diffuse interstitial lung diseases,0.318060357
948,digestive system,0.171561584
949,dimer,0.328431112
950,disadvantages,0.177651523
951,disconnect,0.285878403
952,discrimination,0.310963644
953,disease,0.299253347
954,disease extension,0.249867714
955,disease seriousness,0.219460422
956,diseases,0.205797305
957,disinfectants,0.32029834
958,disparities,0.278855625
959,displacement,0.326536138
960,disruption,0
961,dissemination,0.262385874
962,distant metastatic disease,0.263775081
963,distinct structure,0.266054339
964,dizziness,0.172871254
965,doctor,0.254648362
966,donors,0.25699633
967,dosages,0.315300857
968,doses,0.237857399
969,downturn,0.387497098
970,doxycycline,0.28418007
971,dramatic enlargement,0.280503779
972,drilling,0.244633109
973,driving protest,0.26292078
974,drop,0.213649262
975,drops,0.274608957
976,drug,0.297483542
977,dsRNA helices,0.215486784
978,dust mites,0.202947221
979,dye,0
980,earliest date,0.211544365
981,earliest onset,0.428871114
982,early exposure,0.160976414
983,early genes,0.404570057
984,early late phases,0.211349768
985,economic losses,0.425541322
986,economic relief,0.190108796
987,effect,0.353312422
988,effectiveness,0.257827126
989,efficacy,0.304230501
990,efficient circulatory system,0.190694191
991,efforts,0.2412339
992,egg,0.238645088
993,elected government,0.231403184
994,emergency appropriations,0.293901928
995,emergency use authorization,0.315390727
996,employed blacks,0.335913291
997,encounter,0
998,endosome,0.228419511
999,enhancement,0.238634377
1000,environmentally significant amounts,0.276705149
1001,enzyme,0
1002,eosinophil,0.292073403
1003,episodes,0.349174799
1004,essential amino acids,0.271045825
1005,estimates,0.34167365
1006,estimation,0.308419547
1007,etiology,0
1008,event,0.387019382
1009,evidence,0.374255949
1010,exacerbations,0.247108724
1011,examiner,0.302886572
1012,examples,0.419095247
1013,exceptional success,0
1014,execution,0.174062297
1015,existence,0.327936653
1016,experiences,0.218399458
1017,experimental studies,0.275765519
1018,exposure,0.252675529
1019,extensive use,0.260355385
1020,extraintestinal sites,0.116408608
1021,eyesight,0.150203809
1022,fabric,0.215241652
1023,factors,0.264873677
1024,family,0.314964437
1025,fast deadly arrhythmias,0.333900018
1026,faster bassline,0
1027,fastest bat,0.262670667
1028,father,0.299206489
1029,favourite areas,0.313734481
1030,façade,0.383192353
1031,fecal incontinence,0.355003905
1032,federal offices,0.272155109
1033,female Jamaat members,0.277789063
1034,female Tablighi Jamaat members,0.268932438
1035,fertilisation,0.350074952
1036,fever,0.239478349
1037,fewer,0.334946406
1038,fifth largest African American population,0.32117046
1039,fighting,0
1040,figure,0
1041,file,0.295080785
1042,file geodatabase,0.312667518
1043,findings,0.289656209
1044,finger bones,0.327516566
1045,fish,0.296218738
1046,five factors,0.264911776
1047,five times more sulfur,0.348079198
1048,fluid filled intestines,0.223166601
1049,following alleles,0.19686151
1050,following:.Anterior subpleural consolidations,0.311748736
1051,following:.Lungs,0.300343801
1052,following:.Unexplained AKI,0.375120875
1053,foreign health authority,0
1054,form,0.298595869
1055,four main lineages,0.214294629
1056,frame shifting mechanism,0.294368776
1057,free text,0.344902835
1058,frequent ancestral component,0.318402162
1059,frequent isolation,0.317052394
1060,frescoes,0.24781539
1061,frontal lobe,0.373701774
1062,fungal,0.234192653
1063,fur,0.198413054
1064,gamma glutamylcysteine synthetase,0.439570144
1065,gardening,0.279330692
1066,gases,0.253585237
1067,gastroenteritis,0.384143616
1068,gastrointestinal perforation,0.404726496
1069,gene therapy,0.307655201
1070,general distrust,0
1071,general use,0.332351648
1072,generalized infection,0.221083932
1073,genetic variants,0.351748864
1074,genome,0.280771814
1075,genome wide association study,0.296731224
1076,genome wide average,0.41045783
1077,geodatabase,0.296645943
1078,giant poster,0.266910461
1079,global markets,0.274178557
1080,global stocks,0.234714834
1081,glucose,0.091457946
1082,good sensitivity,0.296422922
1083,government,0.232220874
1084,great distances,0.203616037
1085,great success,0
1086,greater contact,0
1087,greater impact,0.248251328
1088,greater noctule bat,0.261153272
1089,greater strides,0.341881618
1090,green blood,0
1091,ground speed,0.237893344
1092,group,0.415514123
1093,groups,0.295539806
1094,guide,0.328166969
1095,guidelines,0.293690986
1096,guy,0
1097,hair,0.205245319
1098,hair follicles,0.332349464
1099,half a million,0
1100,half of cases,0.276360478
1101,health authority,0
1102,health conditions,0
1103,health effects,0.248107692
1104,health reporter Tess Nichol,0.241702304
1105,health risks,0.318239041
1106,healthy adult,0
1107,hearing,0.242994147
1108,heart failure,0.383391712
1109,heart rate,0.216854519
1110,heavy exposure,0.350984356
1111,hemorrhagic cystitis,0.216967198
1112,herd immunity,0.217872637
1113,high altitude flight,0.354692313
1114,high immune reactivity,0.123810276
1115,high levels,0
1116,high thermal conductivity,0.37275582
1117,higher airborne fungal dissemination,0.307740943
1118,higher fines,0.405843421
1119,higher levels,0.354168047
1120,higher rate,0.403005881
1121,higher rates,0.276142531
1122,higher respiration rate,0.282345575
1123,higher risk,0.333711102
1124,highest death rate,0.383711288
1125,highest level,0.386604879
1126,highest percentage,0.322855455
1127,historic centre,0.279026297
1128,historical African American themes,0.301110257
1129,home use program,0.208293942
1130,homosexuals,0.304249733
1131,honey,0.380659789
1132,hormone melatonin,0
1133,horns,0.259704232
1134,hospital care,0.43530616
1135,hospital officials,0.259361573
1136,hotspot,0.181846128
1137,human activity,0.266510263
1138,human astrovirus capsid spikes,0.36637487
1139,human body,0.288987204
1140,human bone,0
1141,human papillomavirus,0.39688742
1142,humans,0.296885507
1143,humid subtropical climate,0.233788695
1144,hundreds of metres,0.211159575
1145,hydrophobic core,0.304433971
1146,hydrophobic lipoproteins,0.225678219
1147,hydroxychloroquine,0.270824873
1148,idiopathic pulmonary fibrosis,0.307126886
1149,illegal dangerous acts,0.221230281
1150,illness,0.323534815
1151,imaging,0.222410939
1152,immune status,0.301852899
1153,immune system,0.229158252
1154,impact,0.269182608
1155,impacts,0.252293283
1156,important functions,0
1157,important proteinogenic non - proteinogenic amino acids,0.269070507
1158,important role,0.318824549
1159,impressive results,0.169642094
1160,improvement,0.384723228
1161,improvements,0.305044937
1162,inclusion,0.175631563
1163,increase,0.440678681
1164,increased capability,0.38565555
1165,increased capillary permeability,0.263937586
1166,increased risk,0.245251804
1167,increased risks,0.301648366
1168,increased secretion,0.360156344
1169,independence,0.265621795
1170,independent ventilation,0.32198356
1171,indicative,0.195398506
1172,indirect Coombs test,0.294059901
1173,indirect method,0.274054927
1174,individuals,0.36990665
1175,ineffective production,0
1176,infected area,0.31211642
1177,infected individuals,0.337640511
1178,infection,0.283600259
1179,infections,0.286795307
1180,infectious individuals,0.265698986
1181,inflammation,0.42323635
1182,information,0.23964193
1183,infrequent,0.382650799
1184,ingrowth,0
1185,injury,0.220349263
1186,inner membrane,0.264187587
1187,insidious course,0.360161553
1188,integrated indoor commercial poultry,0.380880673
1189,intensive care,0.286710296
1190,intensive work,0.328668914
1191,interaction,0.311233335
1192,interest,0.28766152
1193,international news,0.323686268
1194,international news coverage,0.351080565
1195,internship,0.269749199
1196,investigation,0.310486494
1197,joint pain,0.263145678
1198,key role,0.226114148
1199,kidney,0
1200,kidney damage,0.255259385
1201,killer cocktail,0.318665892
1202,kind,0.341080705
1203,land,0.286599537
1204,large amounts,0.294990135
1205,large cane sugar industry,0.341861345
1206,large crowds,0.250371674
1207,large majority,0.19771603
1208,large number,0.171624795
1209,largely affluent predominantly African American communities,0.309955986
1210,largest collection,0.231224757
1211,largest ethnic group,0.229328665
1212,largest impact,0.273172048
1213,largest known nonenveloped viruses,0.325411407
1214,latent HIV,0
1215,law,0.223076288
1216,lawmakers,0.262733266
1217,leader,0.239981878
1218,legitimate supply chains,0.230276702
1219,less than 0.1%,0.250628897
1220,letters,0.361891963
1221,liability,0.28286762
1222,library,0.134096111
1223,limited data,0.282492575
1224,link,0.281424474
1225,links,0.288632899
1226,list,0.358716966
1227,literature,0.287125378
1228,little 10 %,0.253821717
1229,little effect,0.314064112
1230,little improvement,0.354329452
1231,little support,0.177208115
1232,live poultry markets,0.374808956
1233,live virus,0.318355368
1234,liver,0
1235,local allergic rhinitis,0.29842551
1236,local city government,0.335588313
1237,local guidelines,0.230907844
1238,localized findings,0.422495546
1239,log entry,0
1240,long diverse history,0.397609588
1241,long dsRNA helices,0.315259619
1242,longer lifespan,0.261414781
1243,longest tongue,0.30480805
1244,low,0.140549393
1245,lower rates,0.227544846
1246,lower risk,0.374649224
1247,lung abscess,0.316680693
1248,lung cancer,0.318554496
1249,lung tissue,0.242741523
1250,lungs,0.250148041
1251,macrophages,0.248793805
1252,mainstream Republicans,0.141751976
1253,major losses,0.145013909
1254,major media outlets,0.245590919
1255,major roles,0.181894103
1256,majority,0.266300108
1257,malignancy,0.255331864
1258,mammals,0.2528761
1259,man,0.315986715
1260,masterwork,0.323006165
1261,mating,0.310203999
1262,maximum atmospheric concentrations,0.409970659
1263,mechanical ventilation,0.275463679
1264,mechanisms,0.280191964
1265,medical treatment,0.245057042
1266,medication,0.294819641
1267,medications,0.363928149
1268,megabats,0.300354612
1269,member states,0.309477838
1270,membership,0.333862822
1271,membrane taut,0.162314631
1272,membrane trafficking,0.275822483
1273,mental health,0.386320926
1274,merchant John Lok,0.295940664
1275,mesh,0
1276,"metastasis"".""N1",0.416780303
1277,mice,0.230555779
1278,microcephaly,0.266801022
1279,mild disease,0.325449219
1280,million,0.296795897
1281,millions of people,0.216432646
1282,millions of people in danger of contracting COVID-19,0.26609153
1283,millions of poultry in a growing number of countries throughout Asia,0.231420992
1284,minimal restriction,0.303493416
1285,minimum positive end expiratory pressure,0.263204029
1286,minister,0.189152367
1287,minor continuing presence,0.238263326
1288,minor risk,0.261297844
1289,minor role,0.278756654
1290,minority,0.214757615
1291,mismatch,0.27834406
1292,mixed race children,0
1293,mobile app,0.286072615
1294,moderate nausea,0.24339526
1295,modifications,0.34134664
1296,moisture content,0.291515572
1297,momentum,0.263353243
1298,more than 100 million installs,0.272668602
1299,more than 3 million people,0.23661244
1300,more than 500 foreign preachers,0.320548657
1301,"more than 650,000 printed books",0.24403134
1302,more than 80%,0.400765108
1303,mortality,0.237460521
1304,mosaic appearance attenuation,0.180134752
1305,mother,0.190447428
1306,motif,0.290131693
1307,motor vehicles,0.415600112
1308,mottling,0.314706231
1309,multi - user editing,0.205177502
1310,multiple deployments,0
1311,multiple feature classes,0.081055149
1312,multiple oil producers,0.353049764
1313,multiple professional societies,0.281530532
1314,multiple siblings,0.289815576
1315,muscle fatigue,0.226495213
1316,muscles,0.264272305
1317,mustard,0
1318,myriad causes,0.261091324
1319,nasal polyps,0.272891284
1320,nation highest rate,0.274898596
1321,national IFR,0.259862001
1322,native born blacks,0.238385685
1323,nausea,0.229511217
1324,naval nuclear power training program,0
1325,nearly 140 new cases,0.286398947
1326,nearly 64 million barrels,0.31085562
1327,need,0.216495067
1328,negative effects,0.25352926
1329,negative skin prick intradermal blood tests,0.418000622
1330,neurogenic bladder dysfunction,0.24920188
1331,neuronal necrosis,0.232262573
1332,neuropeptide Y,0.379498765
1333,neutrophils,0.244022209
1334,new application,0.312330309
1335,new blood vessels,0.317819909
1336,new decree,0.282138822
1337,new features,0.269549809
1338,new ground,0.23488972
1339,new imaging biomarker,0.409753122
1340,new measures,0.356603622
1341,new onset Crohn disease,0.236172189
1342,new proposed suborders,0.265086599
1343,new separate African American ethnic group category,0.286629064
1344,new urban master plan,0.321314281
1345,new ventilators,0.157990071
1346,newly formed peptide bond,0.220465786
1347,news,0.329771366
1348,nitric oxide,0.256165984
1349,non - O group AB B individuals,0.360165584
1350,non - humans,0.315471333
1351,non - segmented single stranded positive sense,0.271934729
1352,non - standard amino acids,0.408191755
1353,non-Newtonian fluid dynamics,0
1354,normal CSF results,0.294389982
1355,normal cell structures,0.386690238
1356,normal diseased processes,0.37655912
1357,nose bleeds,0.308490831
1358,notable examples,0.363874737
1359,notable guest speakers,0.191439136
1360,notable models,0
1361,notice,0.275001519
1362,noticeable symptoms,0.174003747
1363,novelists Caryl Phillips,0
1364,nucleus,0
1365,number,0.488942584
1366,numerical,0.244143717
1367,obstetrical gynecological causes,0.194247499
1368,official UK Census,0.218644534
1369,official state bat,0.20871441
1370,offloading,0
1371,oil war,0.3132569
1372,older patients,0.290736545
1373,older people,0.207609707
1374,one of four outcomes,0
1375,one or two imidazole groups,0.299502183
1376,one type,0.307602469
1377,only three,0.227243519
1378,opacities,0.230091195
1379,open air sports,0.273196848
1380,operation Swamp,0
1381,operations,0.214608105
1382,oral transmission,0.319541409
1383,order,0.27891609
1384,orders,0.24633073
1385,organisms,0.267460398
1386,origins,0.302990213
1387,oseltamivir,0.451096759
1388,outbreak,0.268658217
1389,outbreaks,0.236113293
1390,outcomes,0.279590037
1391,over half,0.389785192
1392,overall health,0.308264667
1393,overall sensitivity,0.300181537
1394,oxygen,0
1395,oxyhemoglobin,0
1396,pad,0.239678834
1397,page memorandum,0
1398,paid subscription service,0.339064139
1399,pain,0.289018066
1400,pan-Africanism,0.389578272
1401,pandemic,0.211150978
1402,panel,0.285357116
1403,parasympathetic nervous supply,0.328549014
1404,partial collapse,0.348387225
1405,particular,0.290959094
1406,particulates,0.274241348
1407,partnership,0.295973063
1408,pathogenesis,0
1409,patient care,0.228488988
1410,patient individual vigor,0.23815928
1411,patients,0.343179991
1412,peak number,0.228099989
1413,pelvic inflammatory disease,0.460202056
1414,penetration,0
1415,people,0.400931442
1416,peptic ulcer,0.328072926
1417,peptidoglycan cortex forms,0.220013123
1418,perceived high prices,0.334677622
1419,performances,0
1420,period,0
1421,permanent colostomies,0.286987215
1422,permanent discontinue,0.332345012
1423,person,0.294254925
1424,person ankle,0.294969296
1425,persons,0.197380986
1426,peso,0.303223794
1427,pharmaceutical company,0.320593438
1428,physical examination,0.35635761
1429,physical maneuvers,0.38786252
1430,physicians,0.234599618
1431,pineal gland,0
1432,place,0.422819155
1433,plaques,0.393847049
1434,plasma life,0
1435,platelet activation,0
1436,pneumothorax,0.267564968
1437,point tenderness,0.262963581
1438,police,0
1439,pollen,0.281208818
1440,polymerase chain reaction,0.224645463
1441,polymerization,0.353734289
1442,populations,0.344354822
1443,position,0.247842764
1444,positive cultures,0.264202978
1445,positive pressure mechanical ventilation,0.217949615
1446,positive stranded RNA virus replication model,0.317749455
1447,potential triggers,0.207454619
1448,potentially dangerous material,0.146851818
1449,potentially fatal adverse reaction,0.379079099
1450,potentially fatal medical conditions,0.320233014
1451,preference,0.204317436
1452,premature deaths,0.27561994
1453,premature stop,0.226992588
1454,preplanned analysis,0.321052139
1455,presence,0.274037881
1456,presentation,0.303277138
1457,preserved 18th century sundial,0.268615265
1458,president,0.292622702
1459,president statements,0.335118918
1460,pressure,0.292948284
1461,pressure volume curve,0.266182096
1462,primary treatment,0.282758513
1463,principle,0.254347068
1464,private library,0.227953504
1465,problem,0.21873832
1466,process,0.348657224
1467,production,0.202920305
1468,progression,0.111934938
1469,projection domain,0.294076539
1470,prompt diagnosis,0.208873223
1471,proteins,0.384798668
1472,protesters,0.229006713
1473,protests,0.230414473
1474,public address,0.259090068
1475,pulmonary complications,0
1476,qualitative research study,0.340175411
1477,quality,0.300387144
1478,quantitative easing program,0.39043349
1479,racial riots,0
1480,radiation therapy,0.373935978
1481,radiolabeled fludeoxyglucose,0.298308911
1482,raised serum IgE,0.289050886
1483,rally,0.183911835
1484,random antibody testing,0.154165151
1485,range,0.223838499
1486,rare paternal haplogroup A1,0
1487,rate,0.306298189
1488,rates,0.379235309
1489,ratio,0.360361509
1490,reaction,0.217312733
1491,reactions,0.275577042
1492,realization,0.154547438
1493,recent research,0.358978336
1494,recent studies,0
1495,receptor binding site,0.279179627
1496,recipient,0.32843641
1497,recommendations,0.354071269
1498,records,0.269562973
1499,recovery,0.263121999
1500,recruitable alveoli,0.157571394
1501,red blood cells,0
1502,reduction,0.264968126
1503,reference catalogue,0.319407438
1504,regional lymph,0.254726372
1505,regulations,0.247351662
1506,relationship,0.411343047
1507,relative proportion,0.281922882
1508,relatively broad shallow antibacterial activity,0.392332925
1509,relatively large exposure,0.172913851
1510,removal,0.286090997
1511,rent,0
1512,reopening,0.207439214
1513,research based senior Medical Doctorate,0.311929925
1514,research content open access,0.317079117
1515,researchers,0.137046053
1516,respiratory cycle,0.140060767
1517,respiratory disease,0.320397897
1518,respiratory disease experience respiratory reactions,0.347025835
1519,respiratory eye infections,0.329517029
1520,respiratory illnesses,0.189561416
1521,respiratory syncytial virus,0.373224237
1522,rest,0.194784803
1523,results,0.438384565
1524,retina specialists,0.277496044
1525,revenue,0.258434144
1526,reversible posterior encephalopathy syndrome,0.301029372
1527,reversible targeting,0.250329475
1528,right sided heart failure,0.27979454
1529,right ventricle,0
1530,rise,0
1531,risk,0.311654204
1532,role,0.368833809
1533,roles,0.258466378
1534,roughly 14 million books,0.362950155
1535,royal livery,0.204599736
1536,runny stuffy nose,0.281625062
1537,sanctions,0.274489675
1538,scale,0.214235094
1539,science culture coverage,0.251006196
1540,scientific writing,0.180450101
1541,scientists,0
1542,scores,0.204176642
1543,seasonal perennial local allergic rhinitis,0.372339305
1544,seat,0
1545,second fiscal stimulus package,0.224240423
1546,seizure,0.348191635
1547,seizures,0.298258031
1548,selection,0.257457554
1549,self designation entries,0.33277386
1550,self identified Black Hispanics,0.25374551
1551,sense,0.415612911
1552,sensitive lung tissues,0.264545209
1553,sensitivity,0.217639418
1554,sensitized individuals,0.284452207
1555,sepsis,0.186600769
1556,seven day course,0.178858195
1557,several years,0.391158093
1558,severe contractions,0.401541485
1559,severe dyspnea,0.230378308
1560,severe effects,0.233598148
1561,severe exacerbation,0.321469576
1562,severe fatal complications,0
1563,severe heart block,0.36979969
1564,severe respiratory symptoms,0.310276844
1565,short commentary,0.335784862
1566,shortness,0.425325708
1567,signals,0.268306098
1568,significant amounts,0.140437117
1569,significant differences,0.452129135
1570,significant distances,0.262603348
1571,significant effects,0.286159036
1572,significant negative effect,0.360756713
1573,significant role,0.255767555
1574,similar blood,0.181979214
1575,similar compilations,0.196006395
1576,similar efficacy,0.322550456
1577,similar findings,0.296650454
1578,similar layout content options,0.246035787
1579,similar numbers,0.481990305
1580,similar problems,0.35362241
1581,single editor,0.244858334
1582,single endospore,0.179497967
1583,single exposure,0.250448047
1584,single table,0.314367957
1585,site,0.291553145
1586,sites,0.329502115
1587,sizable black population,0.364946024
1588,sizable immigrant populations,0.331344471
1589,slavery,0.334729956
1590,slightly different sounds,0.294479543
1591,slightly lower breaking stress point,0.358332304
1592,small group,0.255759693
1593,small improvements,0.289295933
1594,smog type formation,0.262311149
1595,smoke,0.241520018
1596,social distancing protocols,0.115290822
1597,social media users,0.316705704
1598,solving,0.276594738
1599,some 3–7%,0.329104914
1600,space exploration,0.304661557
1601,speakers,0.34917568
1602,special bacteria,0.314018093
1603,specialised Pathogen Genomics Intelligence Institute,0.300563131
1604,species,0.407799905
1605,specific code,0.349986569
1606,specific guidelines,0.305847972
1607,specific therapies,0.254820978
1608,spike,0.197644889
1609,sporadic infection,0.294304035
1610,spore coat,0.234753343
1611,squats,0.183855261
1612,stability,0
1613,star like appearance,0.327380206
1614,state,0.298302115
1615,stating,0.297416161
1616,statistically significant higher odds,0.332109561
1617,stock markets,0.267938964
1618,stomach particles,0.347881527
1619,stops,0.34030932
1620,stories,0.218974278
1621,story,0.27323183
1622,streets,0.314432451
1623,strength,0
1624,strokes,0.361395239
1625,studies,0.50275046
1626,study,0
1627,sub lineage containing SARS,0
1628,sub structure N C C C CO2,0
1629,sub structure N C CO2,0
1630,subjects,0
1631,subscriptions,0
1632,subsidy,0
1633,substantial strides,0
1634,successful open heart surgery,0
1635,sudden arterial hypoxemia,0
1636,sufferers,0
1637,supply,0
1638,supportive evidence,0
1639,suppression,0
1640,surgeon,0
1641,suspicion,0
1642,swallow mechanism,0
1643,switch,0
1644,symptoms,0
1645,syndrome,0
1646,systematic review,0
1647,systemic discrimination,0
1648,systems,0
1649,tax relief,0
1650,tehsildar,0
1651,temporary 30-day travel ban,0
1652,term,0
1653,test,0
1654,test result,0
1655,tetrazole group,0
1656,text,0
1657,texture,0
1658,the 1890s to the 1970s,0
1659,the Airport Authority of India,0
1660,the Berlin Definition of ARDS,0
1661,the Beryllium Case Registry,0
1662,the Black Television News Channel,0
1663,the British Medical Journal,0
1664,the Committee for Medicinal Products for Human Use,0
1665,the Democratic Party,0
1666,the Emancipation Proclamation,0
1667,the European Commission,0
1668,the Federal Australian Government,0
1669,the Italian Council of Ministers,0
1670,the Jama Masjid Moazzampura,0
1671,the Lion of Saint Mark,0
1672,the Magazine Monitor,0
1673,the Ministry of Health,0
1674,the Mississippi River,0
1675,the National Health Commission of China,0
1676,the National Institutes of Health,0
1677,the National Library of France,0
1678,the Nobel Prize in Physiology or Medicine,0
1679,the U.S Food and Drug Administration,0
1680,the US Food and Drug Administration,0
1681,the United Kingdom,0
1682,the United States,0
1683,the United States Environmental Protection Agency,0
1684,the United States Food and Drug Administration,0
1685,the World Health Organization,0
1686,the day,0
1687,theory,0
1688,therapeutic options,0
1689,therapies,0
1690,thermal screening,0
1691,three Republican state legislators,0
1692,three adult daughters,0
1693,three daughters,0
1694,three events,0
1695,three extensions,0
1696,three of the original nine patents on the computer on which all PCs,0
1697,three of these pollutants,0
1698,thrush,0
1699,tighter regulations,0
1700,timely treatment,0
1701,tissue injury,0
1702,tomb,0
1703,tongue,0
1704,torpor,0
1705,toxic emission,0
1706,traces,0
1707,traditional serological tests,0
1708,transaminases,0
1709,transition,0
1710,trauma,0
1711,treatment,0
1712,treatment recommendations,0
1713,tree,0
1714,trials,0
1715,tube lipped nectar bat,0
1716,tubular cells,0
1717,two Thai Nationals,0
1718,two centres,0
1719,two defendants,0
1720,two sets,0
1721,two to three AECB episodes,0
1722,type,0
1723,types,0
1724,typical COPD patient,0
1725,ultrasonography,0
1726,ultraviolet,0
1727,uncomfortable respiratory reactions,0
1728,uncommon amino acids,0
1729,underlying immunopathology,0
1730,undesirable effects,0
1731,unexpected price discounts,0
1732,uninfected mammalian cells,0
1733,unprecedented severe rebuke,0
1734,up to 9%,0
1735,upper chambers,0
1736,upper city,0
1737,urgent need,0
1738,uric acid,0
1739,use,0
1740,user,0
1741,utilities,0
1742,vaccination,0
1743,vaccine,0
1744,vaccine candidates,0
1745,vanadins,0
1746,variants,0
1747,variety,0
1748,vasculature,0
1749,ventricular fibrillation,0
1750,version,0
1751,viral bacterial infections,0
1752,viral meningitis,0
1753,viral myocarditis long QT syndrome Brugada syndrome,0
1754,virions,0
1755,virus,0
1756,viruses,0
1757,visual programming environment,0
1758,vitamin D supplements,0
1759,vocal signals,0
1760,volume,0
1761,warm water,0
1762,warning,0
1763,waste products,0
1764,water,0
1765,website,0
1766,well over 80%,0
1767,west,0
1768,wheezing,0
1769,white collar occupations,0
1770,widely devices,0
1771,widespread painful inflammation,0
1772,wines,0
1773,wing membrane,0
1774,with:.Bergamo,0
1775,women volleyball team,0
1776,words,0
1777,workers,0
1778,working groups,0
1779,worldwide campaign,0
1780,xray,0
1781,zidovudine,0
1782,¥1.3 trillion,0
1783,¥120 billion,0
1784,¥200 billion,0
1785,اوڠ بولڬيب,0
1786,بولڬيب,0
1787,مهمود,0
1788,₩11.7 trillion 9.8 billion fiscal stimulus program,0
1789,€ 24 billion foreign exchange swap line,0
1790,€ 25 billion 28 billion fiscal stimulus,0
,₽ 150 billion 1.92 billion credit line program,
